Username,Rating,Date,Review,Reply,Reply Date,Usefulness,Reply_Time_Days,Sentiment_Score,Sentiment,Tokens,UI_Issue,Performance_Issue,Feature_Request,Support_Complaint,Pricing_Complaint,delivery_issues,Payment_Problems,Food_Quality,Promotions_Issues
Bhuvana M,5,2025-03-28,super,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-03-28,0,0,0.5994,Positive,['super'],,,,,,,,,
Biswanath Chattaraj,1,2025-03-28,jio discountnot deducted,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",2025-03-28,0,0,0.0,Neutral,"['jio', 'discountnot', 'deducted']",,,,,,,deducted,,
Ayeshafalak777drawing,2,2025-03-28,this app is good but there is no cancellation option,"Hi, we are sorry about the ordeal. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2025-03-28,0,0,-0.2144,Negative,"['app', 'good', 'cancellation', 'option']",,,,,,,app,good,
Anoop Bhatt,5,2025-03-28,nice ,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-03-28,0,0,0.4215,Positive,['nice'],,,,,,,,,
Abdul Shahid,5,2025-03-28,really great app free cash offer new other offer,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-03-28,0,0,0.8384,Positive,"['really', 'great', 'app', 'free', 'cash', 'offer', 'new', 'offer']",,,great,,,,app,,"free, offer, offer"
Dhananjay akundi,1,2025-03-28,cancellation policy is worst,"We are sorry to let you down. Please write to us at swiggysocial@swiggy.in from your registered email address elaborating further on your ordeal, so we can expiate for the miss.",2025-03-28,0,0,-0.6249,Negative,"['cancellation', 'policy', 'worst']",,,,,,,,,
Nisha Nisha,4,2025-03-28,nice,"Hello, thank you so much for the positive review! We'll endeavor to keep it up. Please let us know how we can provide service worth 5 stars by writing to us at swiggysocial@swiggy.in from your registered email address.",2025-03-28,0,0,0.4215,Positive,['nice'],,,,,,,,,
Iedu Khan,5,2025-03-28,अचछ रह,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-03-28,0,0,0.0,Neutral,"['अचछ', 'रह']",,,,,,,,,
Ameera Ilyas,1,2025-03-28,very slow app is working,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",2025-03-28,0,0,0.0,Neutral,"['slow', 'app', 'working']",slow,slow,,slow,,,app,,working
Srivaishnavi Dasari,5,2025-03-28,good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Raj Kumar,4,2025-03-28,good,"Hi there, thank you for the review and the stars. We would love to hear from you about how we could hit the 5-star rating. Please do share your thoughts by dropping an email from your registered address at swiggysocial@swiggy.in. Looking forward to hearing from you. Keep Swiggying till then. 😊",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Muskaan Pathak,1,2025-03-28,literally i was waiting for more than an hour and the delivery partner hasnt delivered the food and marked it delivered and customer care was useless for some situation,"Hi there, we are sorry for any hassle you have faced while ordering with us. Please share the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email address and we would be happy to connect with you and resolve the matter.",2025-03-28,0,0,0.1027,Positive,"['literally', 'waiting', 'hour', 'delivery', 'partner', 'hasnt', 'delivered', 'food', 'marked', 'delivered', 'customer', 'care', 'useless', 'situation']",useless,,,useless,,"waiting, delivery, delivered, delivered",,food,delivery
Veena cs Veena cs,5,2025-03-28,good,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Abhishek Yadav,1,2025-03-28,money thiefs never provided good service please not used this app use zomato instead,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2025-03-28,0,0,-0.0274,Neutral,"['money', 'thiefs', 'never', 'provided', 'good', 'service', 'please', 'used', 'app', 'use', 'zomato', 'instead']",,,"please, use",never,,never,"money, app",good,use
DEVIL LION GAMERZ,5,2025-03-28,well going,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-03-28,0,0,0.2732,Positive,"['well', 'going']",,,,,,,,,
janani cholarajan,5,2025-03-28,on time everytime,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.0,Neutral,"['time', 'everytime']",time,time,,time,,time,,,
Raghav Sharma,1,2025-03-28,i had very bad experience with swiggy instamart because they are more costly than zomato same food i ordered from zomato is less cost than the swiggy pls swiggy you close your app otherwise provide a cheap service rgds,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",2025-03-28,0,0,-0.6353,Negative,"['bad', 'experience', 'swiggy', 'instamart', 'costly', 'zomato', 'food', 'ordered', 'zomato', 'less', 'cost', 'swiggy', 'pls', 'swiggy', 'close', 'app', 'otherwise', 'provide', 'cheap', 'service', 'rgds']",bad,,,,cost,,app,"bad, food",
Akash Dogra,5,2025-03-28,nice on time,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.4215,Positive,"['nice', 'time']",time,time,,time,,time,,,
Alan Alan,5,2025-03-28,good app,"Hey there, glad that we have stood up to your expectations. Thank you for the positive review and the perfect star rating. Keep Swiggying. 🙂",2025-03-28,0,0,0.4404,Positive,"['good', 'app']",,,,,,,app,good,
Sayeeda Begum,4,2025-03-28,best app ever,"Hey, thanks for the rating! This motivates us to keep serving you better with every order. We would love to hear from you about how we could hit the 5-star rating. Please do share your thoughts by dropping an email at swiggysocial@swiggy.in.",2025-03-28,0,0,0.6369,Positive,"['best', 'app', 'ever']",,,,,,,app,,
HARSHWARDHAN AMAR PATIL,5,2025-03-28,loved it,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-03-28,0,0,0.5994,Positive,['loved'],,,,,,,,,
Karan Saroj,5,2025-03-28,good,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Monika,5,2025-03-28,its too good for me ,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Sunitha Sunitha,5,2025-03-28,,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.0,Neutral,[],,,,,,,,,
kiran.y kumar,2,2025-03-28,costs are very high,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-03-28,0,0,0.0,Neutral,"['costs', 'high']",,,,,high,,,,
Aisha Zee,1,2025-03-28,10days ago i have order for icecream they have given me melted icecream i trying reaching them no off the customer care response me back yet they always do same instamart all spoiled iteams,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-03-28,0,0,0.4215,Positive,"['ago', 'order', 'icecream', 'given', 'melted', 'icecream', 'trying', 'reaching', 'customer', 'care', 'response', 'back', 'yet', 'always', 'instamart', 'spoiled', 'iteams']",,,trying,response,,order,,"order, spoiled",
Chandni Maran,1,2025-03-28,the rate is very high,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2025-03-28,0,0,0.0,Neutral,"['rate', 'high']",,,,,high,,,,
Ramachandra Reddy,5,2025-03-28,vv good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.4404,Positive,"['vv', 'good']",,,,,,,,good,
Sowmya Nanda,5,2025-03-28,gud,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-03-28,0,0,0.0,Neutral,['gud'],,,,,,,,,
anu rani,1,2025-03-28,delivery take 45 minutes and cold pizza delivery,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-03-28,0,0,0.0,Neutral,"['delivery', 'take', 'minutes', 'cold', 'pizza', 'delivery']",,,,,,"delivery, delivery",,cold,"delivery, delivery"
Drishti Darro,3,2025-03-28,good,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Dev Kumar,5,2025-03-28,good job,"Hey there, glad that we have stood up to your expectations. Thank you for the positive review and the perfect star rating. Keep Swiggying. 🙂",2025-03-28,0,0,0.4404,Positive,"['good', 'job']",,,,,,,,good,
Sachin Khati,5,2025-03-28,best of best ,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.8555,Positive,"['best', 'best']",,,,,,,,,
Shlok Pancholi,1,2025-03-28,i have too much to say about the app but dont want to waste my time here to describe how bad your app is,"Hi there, we did not mean to keep you waiting for your order. Please share your order ID by writing to us at swiggysocial@swiggy.in and allow us the chance to have this checked for you.",2025-03-28,0,0,-0.474,Negative,"['much', 'say', 'app', 'dont', 'want', 'waste', 'time', 'describe', 'bad', 'app']","time, bad",time,want,"waste, time",much,time,"app, app",bad,
Harish kumar,5,2025-03-28,very fast service,"Hey there, we're pleased that you enjoyed your experience with Swiggy. We'll endeavor to keep it up. Keep ordering. 🙂",2025-03-28,0,0,0.0,Neutral,"['fast', 'service']",,,,,,,,,
Shilpa Mane,5,2025-03-28, good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Sanjhi Siddharth,5,2025-03-28,best app for me,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.6369,Positive,"['best', 'app']",,,,,,,app,,
Mohit Ali,3,2025-03-28,good,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Dhananjay Prabhu,1,2025-03-28,very bad service their bolt delivery is misleading and disappointing they dont delivery even after 1hrof lately they make their delivery partners to deliver multiple orders thereby delaying your food,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",2025-03-28,5,0,-0.8655,Negative,"['bad', 'service', 'bolt', 'delivery', 'misleading', 'disappointing', 'dont', 'delivery', 'even', 'lately', 'make', 'delivery', 'partners', 'deliver', 'multiple', 'orders', 'thereby', 'delaying', 'food']","bad, disappointing",,,,,"delivery, delivery, delivery",,"bad, food","delivery, delivery, delivery"
Siddhi Gupta,5,2025-03-28,good ,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Dushyant baghel Sagar,5,2025-03-28,nice ,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.4215,Positive,['nice'],,,,,,,,,
Reshma Reshma,1,2025-03-28,nice,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2025-03-28,0,0,0.4215,Positive,['nice'],,,,,,,,,
#Rishabh Pathak,5,2025-03-28,good,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Humera Khan,3,2025-03-28,location dalne mein kafi dikkat aati hai aur magar refund aane mein bahut jaldi hota hai,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.0,Neutral,"['location', 'dalne', 'mein', 'kafi', 'dikkat', 'aati', 'hai', 'aur', 'magar', 'refund', 'aane', 'mein', 'bahut', 'jaldi', 'hota', 'hai']",,,,,,,refund,,
aritra chatterjee,1,2025-03-28,third class delivery service they make you wait for hours and then cancel the order or you are forced to cancel on your own and this has happened on numerous occasions expect zero credibility from them they will come up with a standard response to this review as they have to many others such responses are useless should take a lesson or two from their direct competitor,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2025-03-28,0,0,-0.8316,Negative,"['third', 'class', 'delivery', 'service', 'make', 'wait', 'hours', 'cancel', 'order', 'forced', 'cancel', 'happened', 'numerous', 'occasions', 'expect', 'zero', 'credibility', 'come', 'standard', 'response', 'review', 'many', 'others', 'responses', 'useless', 'take', 'lesson', 'two', 'direct', 'competitor']",useless,,,"wait, response, useless",,"delivery, order",,order,delivery
Chinna Chinna,4,2025-03-28,wow,"Hello, thank you for the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.5859,Positive,['wow'],,,,,,,,,
Vikram,5,2025-03-28,wonder full food app on first priority for ghar ke jaisa khana,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.0,Neutral,"['wonder', 'full', 'food', 'app', 'first', 'priority', 'ghar', 'ke', 'jaisa', 'khana']",,,,,,,app,food,
amreen maindargi,1,2025-03-28,nt so good,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",2025-03-28,0,0,0.4927,Positive,"['nt', 'good']",,,,,,,,good,
Tharun Saravanan,4,2025-03-28,very good ,"Hey, thanks for the rating! This motivates us to keep serving you better with every order. We would love to hear from you about how we could hit the 5-star rating. Please do share your thoughts by dropping an email at swiggysocial@swiggy.in.",2025-03-28,0,0,0.4927,Positive,['good'],,,,,,,,good,
orooj siddiqui,5,2025-03-28,very good app for food delivery,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.4927,Positive,"['good', 'app', 'food', 'delivery']",,,,,,delivery,app,"good, food",delivery
ARAVINDH M,1,2025-03-28,food delivery worst in the world,"We are sorry to let you down. Please write to us at swiggysocial@swiggy.in from your registered email address elaborating further on your ordeal, so we can expiate for the miss.",2025-03-28,0,0,-0.6249,Negative,"['food', 'delivery', 'worst', 'world']",,,,,,delivery,,food,delivery
KRISHNA KUMAR sachin,5,2025-03-28,nice,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-03-28,0,0,0.4215,Positive,['nice'],,,,,,,,,
Hassan Zakir,1,2025-03-28,worst ever app in terms of customer service,"We are sorry to let you down. Please write to us at swiggysocial@swiggy.in from your registered email address elaborating further on your ordeal, so we can expiate for the miss.",2025-03-28,0,0,-0.6249,Negative,"['worst', 'ever', 'app', 'terms', 'customer', 'service']",,,,,,,app,,
ravan 2406,5,2025-03-28,good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Swati Bamaniya,1,2025-03-28,not great,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed,2025-03-28,0,0,-0.5096,Negative,['great'],,,great,,,,,,
Austin Jasm,1,2025-03-28,doesnt even move,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-03-28,0,0,0.0,Neutral,"['doesnt', 'even', 'move']",,,,,,,,,
Sinchana Yogesh,1,2025-03-28,i am highly disappointed with the way swiggy instamart works i order a products which is worth rs 1800 and i get the products which is not even in my list and when i ask for re delivery i am getting the solution to get the refund if refund was the solution for all the problem we face we dont need apps like istamart we trust and order thinking that its on time and saves our time from past 2 hours i am just trying to resolve the issue which is ending up in asking for refund not ordering,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2025-03-28,0,0,0.4934,Positive,"['highly', 'disappointed', 'way', 'swiggy', 'instamart', 'works', 'order', 'products', 'worth', 'rs', 'get', 'products', 'even', 'list', 'ask', 'delivery', 'getting', 'solution', 'get', 'refund', 'refund', 'solution', 'problem', 'face', 'dont', 'need', 'apps', 'like', 'istamart', 'trust', 'order', 'thinking', 'time', 'saves', 'time', 'past', 'hours', 'trying', 'resolve', 'issue', 'ending', 'asking', 'refund', 'ordering']","problem, time, time, issue","time, time","way, get, get, need, like, trying","solution, solution, time, time, resolve",worth,"order, delivery, order, time, time, issue","get, get, refund, refund, issue, refund","order, order, issue","get, delivery, get, issue"
Ritesh Patel,5,2025-03-28,awesome,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-03-28,0,0,0.6249,Positive,['awesome'],,,,,,,,,
Anbuselvam Chinniyar,5,2025-03-28,semaaaa,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.0,Neutral,['semaaaa'],,,,,,,,,
Bushra Azad,5,2025-03-28,best food delivery app better then zomato all restaurants tastes are testy,We are happy to hear such positive feedback. 🙂,2025-03-28,0,0,0.7964,Positive,"['best', 'food', 'delivery', 'app', 'better', 'zomato', 'restaurants', 'tastes', 'testy']",,,,,,delivery,app,food,delivery
Atharv Mishra,1,2025-03-28,aaj tak maine itna ghatiya app nahin dekha hai bahut bekar hai bilkul dhokha kar raha hai bilkul bekar hai bataiye,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed,2025-03-28,0,0,0.0,Neutral,"['aaj', 'tak', 'maine', 'itna', 'ghatiya', 'app', 'nahin', 'dekha', 'hai', 'bahut', 'bekar', 'hai', 'bilkul', 'dhokha', 'kar', 'raha', 'hai', 'bilkul', 'bekar', 'hai', 'bataiye']",,,,,,,app,,
Akash Akash,5,2025-03-28,excellent,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.5719,Positive,['excellent'],,,,,,,,,
Bikash Harijan,5,2025-03-28,good app,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-03-28,0,0,0.4404,Positive,"['good', 'app']",,,,,,,app,good,
chandan kumar,5,2025-03-28,nice service,"Hello, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 😊",2025-03-28,0,0,0.4215,Positive,"['nice', 'service']",,,,,,,,,
Jacob Deen,5,2025-03-28,good timing,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-03-28,0,0,0.4404,Positive,"['good', 'timing']",,,,,,,,good,
Preet singh,4,2025-03-28,good ,"Hello, thank you for the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Ajay Yadav,5,2025-03-28,nice,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-03-28,0,0,0.4215,Positive,['nice'],,,,,,,,,
Nizam Nizam,5,2025-03-28,nice,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-03-28,0,0,0.4215,Positive,['nice'],,,,,,,,,
A Google user,1,2025-03-28,day by day app is getting worse not providing accurate time of delivery actual time moves on but time in app moves with slow motion better provide the customer satisfaction with better delivery expected time,"Hey there, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-03-28,0,0,0.8885,Positive,"['day', 'day', 'app', 'getting', 'worse', 'providing', 'accurate', 'time', 'delivery', 'actual', 'time', 'moves', 'time', 'app', 'moves', 'slow', 'motion', 'better', 'provide', 'customer', 'satisfaction', 'better', 'delivery', 'expected', 'time']","time, time, time, slow, time","time, time, time, slow, time",,"time, time, time, slow, time",,"time, delivery, time, time, delivery, time","app, app",,"delivery, delivery"
Khushboo Kumari,4,2025-03-28,good,"Hey, thanks for the rating! This motivates us to keep serving you better with every order. We would love to hear from you about how we could hit the 5-star rating. Please do share your thoughts by dropping an email at swiggysocial@swiggy.in.",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Ashish Kumar darshan,5,2025-03-28,good,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Tanmya kumer Swain,5,2025-03-28,better,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-03-28,0,0,0.4404,Positive,['better'],,,,,,,,,
sarika kherwa,5,2025-03-28,very nice,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-03-28,0,0,0.4754,Positive,['nice'],,,,,,,,,
Sreeman Krishnaa,5,2025-03-28,good,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Shubham Tiwari,4,2025-03-28,very good service,"Hey, thanks for the rating! This motivates us to keep serving you better with every order. We would love to hear from you about how we could hit the 5-star rating. Please do share your thoughts by dropping an email at swiggysocial@swiggy.in.",2025-03-28,0,0,0.4927,Positive,"['good', 'service']",,,,,,,,good,
Pankaj Gupta,5,2025-03-28,super deal,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-03-28,0,0,0.5994,Positive,"['super', 'deal']",,,,,,,,,
Vinay Pathak,1,2025-03-28,no offer ,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.,2025-03-28,0,0,-0.296,Negative,['offer'],,,,,,,,,offer
Yash Yadav,5,2025-03-28,good,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
I'm Rohit Bishnoi29,1,2025-03-28,no bed service,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-03-28,0,0,-0.296,Negative,"['bed', 'service']",,,,,,,,,
RAKESH KUMAR NAYAK,5,2025-03-28,very good app,"Hey there, glad that we have stood up to your expectations. Thank you for the positive review and the perfect star rating. Keep Swiggying. 🙂",2025-03-28,0,0,0.4927,Positive,"['good', 'app']",,,,,,,app,good,
Nitin Giri,5,2025-03-28,osm,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.0,Neutral,['osm'],,,,,,,,,
Kartar Singh,5,2025-03-28,ok,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.296,Positive,['ok'],,,,,,,,,
Singhrupam Singh,1,2025-03-28,i am unable to download the invoice of my orders,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.,2025-03-28,0,0,0.0,Neutral,"['unable', 'download', 'invoice', 'orders']",,,,,,,unable,,
Bhaskar Rajvanshi,1,2025-03-28,very bad service,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2025-03-28,0,0,-0.5849,Negative,"['bad', 'service']",bad,,,,,,,bad,
Rakib Ali,5,2025-03-28,good ,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
HISAB NISIKA,5,2025-03-28,good ,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Sejal Kumari,5,2025-03-28,its really good  ,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-03-28,0,0,0.4927,Positive,"['really', 'good']",,,,,,,,good,
celina john,5,2025-03-28,the food delivery was good it was hot and hygiene the delivery was good ,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-03-28,0,0,0.7003,Positive,"['food', 'delivery', 'good', 'hot', 'hygiene', 'delivery', 'good']",,,,,,"delivery, delivery",,"food, good, good","delivery, delivery"
sd samer,4,2025-03-28,enjoy ,"Hi, thank you for delighting us with the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our service worth 5 stars.",2025-03-28,0,0,0.4939,Positive,['enjoy'],,,,,,,,,
rohit sharma 5626,5,2025-03-28,good,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
Nelson Davidson,5,2025-03-28,on time delivery,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-03-28,0,0,0.0,Neutral,"['time', 'delivery']",time,time,,time,,"time, delivery",,,delivery
ruma jasrotia,5,2025-03-28,good service,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-03-28,0,0,0.4404,Positive,"['good', 'service']",,,,,,,,good,
Devika Prajapat,5,2025-03-28,best app for food and grocery love you swiggy ,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-03-28,0,0,0.8555,Positive,"['best', 'app', 'food', 'grocery', 'love', 'swiggy']",,,love,,,,app,food,
nayka kiran,1,2025-03-28,very bad service swiggy apps auto location happened delivery went to wrong location i did not receive the parcel and they put a penalty of rs 149 on me faltu hai,"Hey there, we apologize for the inconvenience caused. We request you to kindly let us know more about the issue by writing to us at swiggysocial@swiggy.in from your registered email address, so we can look into it and have it fixed at the earliest.",2025-03-28,0,0,-0.8718,Negative,"['bad', 'service', 'swiggy', 'apps', 'auto', 'location', 'happened', 'delivery', 'went', 'wrong', 'location', 'receive', 'parcel', 'put', 'penalty', 'rs', 'faltu', 'hai']",bad,,,,,"delivery, wrong",,"bad, wrong",delivery
Sanjay Jana,5,2025-03-28,good  thank you ,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-03-28,0,0,0.6597,Positive,"['good', 'thank']",,,,,,,,good,
Gurijala Sivaprasad Reddy,5,2025-03-28,its better than zomato and always expected on time delivery,"Hey there, thanks for your valuable feedback. Please elaborate more on the issue by dropping an email at swiggysocial@swiggy.in, so we can assist you better.",2025-03-28,0,0,0.4404,Positive,"['better', 'zomato', 'always', 'expected', 'time', 'delivery']",time,time,,time,,"time, delivery",,,delivery
Nishant Sharma,5,2025-03-28,late delivery,"Hi there, thank you and we value your feedback. Do let us know more about your experience by dropping an email at swiggysocial@swiggy.in from your registered email address & we'll surely work towards improving the services.",2025-03-28,0,0,0.0,Neutral,"['late', 'delivery']",,,,late,,"late, delivery",,,delivery
Anshu Kumar,5,2025-03-28,good  ,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-03-28,0,0,0.4404,Positive,['good'],,,,,,,,good,
